cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
4099,CCC1(C(=O)NC(=O)N(C1=O)C)CC,198.22,66.5,294.0,14,1,3,2,150.5
4100,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,236.3,139.0,419.0,14,1,6,1,213.5
4107,COC1=CC=CC=C1OCC(COC(=O)N)O,241.24,91.0,236.0,17,2,5,7,93.0
4109,CC(=NOC(=O)NC)SC,162.21,76.0,147.0,10,1,4,3,78.0
4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,216.19,48.7,325.0,16,0,4,1,148.0
4116,COC(C(Cl)Cl)(F)F,164.96,9.2,75.7,8,0,3,2,-35.0
4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,360.2,126.0,571.0,20,2,7,2,225.0
4133,COC(=O)C1=CC=CC=C1O,152.15,46.5,144.0,11,1,3,2,-8.45
4156,COS(=O)(=O)C,110.13,51.8,105.0,6,0,3,1,20.0
4164,CN1C2=CC=CC=C2SC3=C1C=C(C=C3)CC(=O)O,271.3,65.8,349.0,19,1,4,2,144.0
4165,CC1=CC2=C(C=C1S(=O)(=O)N)S(=O)(=O)CCC2,275.3,111.0,485.0,17,1,5,1,236.5
4168,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,299.79,67.6,300.0,20,2,4,7,147.25
4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,365.8,101.0,594.0,24,2,5,2,256.0
4173,CC1=NC=C(N1CCO)[N+](=O)[O-],171.15,83.9,170.0,12,1,4,2,160.0
4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,226.27,42.8,275.0,17,0,3,3,50.5
4178,CC1=C(C(=CC=C1)C)OCC(C)N,179.26,35.2,139.0,13,1,2,3,204.0
4192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.8,30.2,471.0,23,0,3,1,159.0
