cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
7977,C1=CC=NC(=C1)Cl,113.54,12.9,56.0,7,0,1,0,-46.5
7983,CCCCOC(=O)CCC,144.21,26.3,89.3,10,0,2,6,-91.5
7985,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,356.5,52.6,285.0,25,0,4,20,-8.0
7992,CC(C)COC=C,100.16,9.2,48.1,7,0,1,3,-112.0
7993,CN(C)CCCN,102.18,29.3,35.1,7,1,2,3,-60.0
7994,CC(C)NCCO,103.16,32.299,37.1,7,2,2,3,128.5
7996,CC(C)OCCO,104.15,29.5,35.1,7,1,2,3,-60.0
7997,CCCOC(=O)C,102.13,26.3,59.1,7,0,2,3,-92.75
8002,CCCCBr,137.02,0.0,13.1,5,0,0,2,-112.2
8003,CCCCC,72.15,0.0,7.5,5,0,0,2,-129.34
8004,CCCC=C,70.13,0.0,21.2,5,0,0,2,-165.2
8005,CCCCCl,92.57,0.0,13.1,5,0,0,2,-123.07
8006,C(CCl)CBr,157.44,0.0,16.4,5,0,0,2,-58.9
8007,CCCCN,73.14,26.0,13.1,5,1,1,2,-50.0
8008,CCCC#N,69.11,23.8,47.9,5,0,1,1,-111.97
8009,C=CCC#N,67.09,23.8,65.0,5,0,1,1,-87.0
8010,C(C#N)C#N,66.06,47.6,82.6,5,0,2,0,32.0
8011,C(CO)C#N,71.08,44.0,51.2,5,1,2,1,-46.0
8015,C=NCC#N,68.08,36.2,66.2,5,0,2,1,129.0
8017,C(CO)NN,76.1,58.3,17.1,5,3,3,2,-70.0
8019,COCCO,76.09,29.5,14.4,5,1,2,2,-85.07
8020,COCOC,76.09,18.5,12.4,5,0,2,2,-104.93
8021,CCNCC,73.14,12.0,11.1,5,1,1,2,-50.0
8023,CCOC=C,72.11,9.2,24.8,5,0,1,2,-115.53
8024,C=COC=C,70.09,9.2,32.9,5,0,1,2,-101.0
8025,CCOC=O,74.08,26.3,26.1,5,0,2,2,-80.15
8027,C1=CNC=C1,67.09,15.8,22.8,5,1,0,0,-23.6
8028,C1CCOC1,72.11,9.2,22.8,5,0,1,0,-108.38
8029,C1=COC=C1,68.07,13.1,22.8,5,0,1,0,-85.6
8031,CC(C)(CCC(C)(C)O)O,146.23,40.5,91.8,10,2,2,3,92.0
8033,CC(C)(C)OOC(C)(C)C,146.23,18.5,80.8,10,0,2,3,-40.0
8034,CC(C)CCC(=O)C,114.19,17.1,74.5,8,0,1,3,-74.0
8035,CC(=O)CCC(=O)C,114.14,34.1,91.1,8,0,2,3,-5.5
8037,CN(C)CCN(C)C,116.2,6.5,42.5,8,0,2,3,-55.0
8038,CC(C)COC(=O)C,116.16,26.3,76.6,8,0,2,3,-98.86
8039,C(=O)(N)NNC(=O)N,118.1,110.0,96.6,8,4,2,0,258.0
8040,CC(=O)OOC(=O)C,118.09,52.6,92.6,8,0,4,3,30.0
8042,CCCCCCCCCCCCCC(=O)OC(C)C,270.5,26.3,199.0,19,0,2,14,3.0
8043,CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,398.6,52.6,355.0,28,0,4,23,-50.0
8048,CCCCCCCCCC(=O)OCC,200.32,26.3,132.0,14,0,2,10,-20.0
8049,CCOC(=O)CCCCCCCCC(=O)OCC,258.35,52.6,202.0,18,0,4,13,5.0
